Ticket-ID;Kategorie;Datum;Uhrzeit
113665;Facebook;01.06.19;00:19:49
113666;Facebook;01.06.19;00:24:14
113668;Facebook;01.06.19;00:32:57
113673;Twitter;01.06.19;01:38:46
113674;Twitter;01.06.19;01:38:46
113683;Facebook;01.06.19;06:24:59
113684;Facebook;01.06.19;06:49:34
113685;Facebook;01.06.19;06:52:25
113689;Facebook;01.06.19;07:44:45
113692;Facebook;01.06.19;08:17:30
113693;Facebook;01.06.19;08:18:11
113694;Facebook;01.06.19;08:18:12
113695;Facebook;01.06.19;08:18:53
113696;Facebook;01.06.19;08:30:13
113698;Facebook;01.06.19;08:47:14
113703;Facebook;01.06.19;09:45:25
113705;Facebook;01.06.19;09:53:03
113706;Facebook;01.06.19;09:53:04
113708;Facebook;01.06.19;09:59:14
113710;Facebook;01.06.19;10:02:37
113720;Spam;01.06.19;11:33:56
113721;Spam;01.06.19;11:34:31
113722;Spam;01.06.19;11:36:04
113723;Twitter;01.06.19;11:42:30
113728;Facebook;01.06.19;12:45:06
113730;Facebook;01.06.19;13:09:51
113732;Facebook;01.06.19;13:19:54
113736;Facebook;01.06.19;13:50:44
113737;Facebook;01.06.19;14:27:26
113741;Facebook;01.06.19;15:10:20
113742;Facebook;01.06.19;15:18:56
113743;Facebook;01.06.19;15:27:13
113746;Facebook;01.06.19;15:35:25
113757;Großer Verteiler;01.06.19;16:49:59
113758;Großer Verteiler;01.06.19;16:52:01
113778;Sonstiges;01.06.19;18:42:01
113799;Facebook;01.06.19;20:35:17
113803;Facebook;01.06.19;20:40:01
113804;Twitter;01.06.19;20:42:00
113805;Facebook;01.06.19;20:55:32
113821;Großer Verteiler;02.06.19;02:04:25
113849;Facebook;02.06.19;05:00:13
113852;Twitter;02.06.19;05:38:11
113860;Twitter;02.06.19;09:21:43
113865;Facebook;02.06.19;09:47:30
113866;Facebook;02.06.19;09:51:36
113868;Bearbeiten_EILT;02.06.19;09:57:17
113869;Facebook;02.06.19;09:58:13
113874;Facebook;02.06.19;10:23:55
113875;Facebook;02.06.19;10:26:38
113876;Facebook;02.06.19;10:30:40
113879;Bearbeiten_EILT;02.06.19;11:00:15
113881;Facebook;02.06.19;11:20:22
113883;Facebook;02.06.19;11:22:25
113897;Twitter;02.06.19;12:54:01
113898;Twitter;02.06.19;12:57:03
113899;Spam;02.06.19;14:05:38
113912;Facebook;02.06.19;16:18:45
113920;Sonstiges;02.06.19;17:57:22
113921;Facebook;02.06.19;18:14:27
113922;Facebook;02.06.19;18:22:11
113924;Facebook;02.06.19;18:27:42
113925;Facebook;02.06.19;18:28:23
113926;Facebook;02.06.19;18:31:49
113927;Facebook;02.06.19;18:32:31
113931;Twitter;02.06.19;19:18:38
113932;Großer Verteiler;02.06.19;19:19:59
113936;Twitter;02.06.19;19:48:10
113939;Twitter;02.06.19;20:48:14
113940;Twitter;02.06.19;20:53:20
113941;Twitter;02.06.19;21:00:27
113942;Sonstiges;02.06.19;21:04:00
113946;Facebook;02.06.19;21:25:34
113947;Facebook;02.06.19;21:30:10
113948;Facebook;02.06.19;21:34:15
113949;Facebook;02.06.19;21:36:19
113958;Facebook;03.06.19;00:01:58
113959;FB Nachricht;03.06.19;00:03:13
113960;Großer Verteiler;03.06.19;00:05:50
113961;Facebook;03.06.19;00:29:20
113962;Sonstiges;03.06.19;00:35:04
113966;Facebook;03.06.19;02:07:20
113967;Twitter;03.06.19;02:18:18
113968;Twitter;03.06.19;03:15:15
113973;Facebook;03.06.19;06:13:43
113978;Facebook;03.06.19;06:38:39
113979;Twitter;03.06.19;06:39:34
113980;Facebook;03.06.19;06:55:53
113981;Facebook;03.06.19;06:59:55
113984;Twitter;03.06.19;07:15:07
